atr,combo_total,rr,symbol,vol_mult
1.0,0.5713848330779001,2.0,GBPNZD,0.8
1.0,0.4584981669904664,2.0,GBPNZD,1.0
1.0,3.8417460839264095,2.0,GBPNZD,1.2
1.0,3.6666809170274064,2.5,GBPNZD,0.8
1.0,3.5812512499978766,2.5,GBPNZD,1.0
1.0,4.250354790943675,2.5,GBPNZD,1.2
1.0,3.6557079169433564,3.0,GBPNZD,0.8
1.0,3.75476191600319,3.0,GBPNZD,1.0
1.0,3.5522758329752833,3.0,GBPNZD,1.2
1.0,3.6554205829743296,3.5,GBPNZD,0.8
1.0,3.7287087499862537,3.5,GBPNZD,1.0
1.0,3.63728683302179,3.5,GBPNZD,1.2
1.0,3.765023709041998,4.0,GBPNZD,0.8
1.0,3.9109244160354137,4.0,GBPNZD,1.0
1.0,3.610656249918975,4.0,GBPNZD,1.2
1.5,3.6056128749623895,2.0,GBPNZD,0.8
1.5,3.738880250020884,2.0,GBPNZD,1.0
1.5,3.559815082931891,2.0,GBPNZD,1.2
1.5,3.815657625091262,2.5,GBPNZD,0.8
1.5,3.5671998750185594,2.5,GBPNZD,1.0
1.5,3.66821383300703,2.5,GBPNZD,1.2
1.5,3.868182042031549,3.0,GBPNZD,0.8
1.5,3.6992745000170544,3.0,GBPNZD,1.0
1.5,3.5490175830200315,3.0,GBPNZD,1.2
1.5,3.7642103329999372,3.5,GBPNZD,0.8
1.5,3.576255041989498,3.5,GBPNZD,1.0
1.5,3.5769890419906005,3.5,GBPNZD,1.2
1.5,3.776749833021313,4.0,GBPNZD,0.8
1.5,3.539006583043374,4.0,GBPNZD,1.0
1.5,3.7493646249640733,4.0,GBPNZD,1.2
2.0,3.8084827499696985,2.0,GBPNZD,0.8
2.0,3.614256458939053,2.0,GBPNZD,1.0
2.0,3.7091182080330327,2.0,GBPNZD,1.2
2.0,4.046950416988693,2.5,GBPNZD,0.8
2.0,4.036479500005953,2.5,GBPNZD,1.0
2.0,3.991631624987349,2.5,GBPNZD,1.2
2.0,3.9849039160180837,3.0,GBPNZD,0.8
2.0,4.4054657079977915,3.0,GBPNZD,1.0
2.0,4.514255749993026,3.0,GBPNZD,1.2
2.0,3.8244154589483514,3.5,GBPNZD,0.8
2.0,3.6018590830499306,3.5,GBPNZD,1.0
2.0,4.082462832913734,3.5,GBPNZD,1.2
2.0,4.0068309580674395,4.0,GBPNZD,0.8
2.0,3.8959020000183955,4.0,GBPNZD,1.0
2.0,3.6948960419977084,4.0,GBPNZD,1.2
2.5,3.928715791902505,2.0,GBPNZD,0.8
2.5,3.814107167068869,2.0,GBPNZD,1.0
2.5,3.5862003749934956,2.0,GBPNZD,1.2
2.5,3.8406582080060616,2.5,GBPNZD,0.8
2.5,3.64746304100845,2.5,GBPNZD,1.0
2.5,3.582840875023976,2.5,GBPNZD,1.2
2.5,3.7925987080670893,3.0,GBPNZD,0.8
2.5,4.063940832973458,3.0,GBPNZD,1.0
2.5,3.8244637090247124,3.0,GBPNZD,1.2
2.5,3.839882917003706,3.5,GBPNZD,0.8
2.5,3.669121374958195,3.5,GBPNZD,1.0
2.5,3.6858447089325637,3.5,GBPNZD,1.2
2.5,3.755315624992363,4.0,GBPNZD,0.8
2.5,3.6114744580117986,4.0,GBPNZD,1.0
2.5,4.248411166016012,4.0,GBPNZD,1.2
3.0,3.9320503750350326,2.0,GBPNZD,0.8
3.0,3.742695749970153,2.0,GBPNZD,1.0
3.0,3.683503416948952,2.0,GBPNZD,1.2
3.0,3.713400249951519,2.5,GBPNZD,0.8
3.0,3.8784744169097394,2.5,GBPNZD,1.0
3.0,3.704007916036062,2.5,GBPNZD,1.2
3.0,3.753431042074226,3.0,GBPNZD,0.8
3.0,3.7142131669679657,3.0,GBPNZD,1.0
3.0,3.6661465829238296,3.0,GBPNZD,1.2
3.0,3.793559666024521,3.5,GBPNZD,0.8
3.0,3.5768393749604,3.5,GBPNZD,1.0
3.0,3.569527250016108,3.5,GBPNZD,1.2
3.0,3.776401750044897,4.0,GBPNZD,0.8
3.0,3.680056583019905,4.0,GBPNZD,1.0
3.0,3.726748250075616,4.0,GBPNZD,1.2
1.0,0.703614209080115,2.0,NZDCAD,0.8
1.0,3.6953043750254437,2.0,NZDCAD,1.0
1.0,3.801713833003305,2.0,NZDCAD,1.2
1.0,3.6549485409632325,2.5,NZDCAD,0.8
1.0,3.5614939579972997,2.5,NZDCAD,1.0
1.0,3.5581160420551896,2.5,NZDCAD,1.2
1.0,3.619898291071877,3.0,NZDCAD,0.8
1.0,3.5344155840575695,3.0,NZDCAD,1.0
1.0,3.6184999579563737,3.0,NZDCAD,1.2
1.0,3.7769389579771087,3.5,NZDCAD,0.8
1.0,3.6867912500165403,3.5,NZDCAD,1.0
1.0,3.8315555000444874,3.5,NZDCAD,1.2
1.0,3.608775250031613,4.0,NZDCAD,0.8
1.0,3.578714416944422,4.0,NZDCAD,1.0
1.0,3.599974582903087,4.0,NZDCAD,1.2
1.5,3.651173667050898,2.0,NZDCAD,0.8
